CustomerID,Age,Gender,TenureYears,MonthlyCharges,TotalCharges,ContractType,InternetService,PaymentMethod,SeniorCitizen,SupportCalls,StreamingService,PaperlessBilling,Churn
CUST00001,56.0,Female,0,20.41,131.92,One year,DSL,Bank transfer,No,3,No,Yes,Yes
CUST00002,69.0,Male,9,21.1,2394.45,Two year,DSL,Credit card,Yes,1,Yes,No,No
CUST00003,46.0,Female,3,61.66,2755.45,Two year,DSL,Bank transfer,No,3,Yes,No,No
CUST00004,32.0,Male,8,35.5,3796.58,Month-to-month,No,Credit card,No,2,No,No,No
CUST00005,60.0,Male,9,86.45,10188.8,Two year,Fiber optic,Electronic check,Yes,3,No,Yes,Yes
CUST00006,25.0,Male,5,90.88,5818.04,Two year,DSL,Mailed check,No,0,No,No,No
CUST00007,38.0,Female,5,37.79,2670.55,Month-to-month,DSL,Mailed check,No,1,Yes,Yes,No
CUST00008,56.0,Male,0,108.85,1106.71,Two year,No,Electronic check,No,4,Yes,No,Yes
CUST00009,36.0,Male,9,64.19,7652.76,One year,DSL,Mailed check,No,3,Yes,No,No
CUST00010,40.0,Male,1,34.28,618.59,One year,Fiber optic,Electronic check,No,3,Yes,Yes,No
CUST00011,19.0,Male,2,95.58,2505.58,One year,Fiber optic,Bank transfer,No,3,Yes,No,No
CUST00012,67.0,Female,3,27.32,978.25,Month-to-month,Fiber optic,Mailed check,No,2,Yes,Yes,No
CUST00013,60.0,Female,8,106.5,10332.39,One year,No,Mailed check,No,3,Yes,No,No
CUST00014,29.0,Female,3,63.02,2385.24,One year,No,Bank transfer,No,3,Yes,Yes,Yes
CUST00015,27.0,Male,2,78.13,1843.13,Two year,Fiber optic,Electronic check,No,2,No,Yes,No
CUST00016,27.0,Male,4,95.74,4790.22,Month-to-month,No,Bank transfer,No,3,Yes,Yes,No
CUST00017,34.0,Female,6,46.61,3494.04,Two year,DSL,Electronic check,No,1,Yes,Yes,No
CUST00018,45.0,Female,4,109.02,5235.48,Month-to-month,No,Mailed check,No,1,Yes,Yes,No
CUST00019,40.0,Female,3,117.9,4175.72,One year,DSL,Electronic check,No,3,Yes,No,No
CUST00020,33.0,Female,7,69.43,5959.31,Two year,Fiber optic,Bank transfer,No,1,No,Yes,No
CUST00021,49.0,Female,3,113.68,4194.09,Two year,DSL,Electronic check,No,0,Yes,Yes,No
CUST00022,25.0,Female,1,20.13,255.27,One year,No,Credit card,No,4,Yes,Yes,No
CUST00023,33.0,Male,9,109.41,12069.54,Month-to-month,DSL,Credit card,Yes,2,Yes,Yes,No
CUST00024,37.0,Female,5,51.11,3112.56,Month-to-month,Fiber optic,Bank transfer,No,2,Yes,Yes,Yes
CUST00025,41.0,Female,1,51.16,657.34,Month-to-month,Fiber optic,Bank transfer,No,3,Yes,Yes,Yes
CUST00026,58.0,Female,2,42.82,952.37,Two year,Fiber optic,Bank transfer,No,1,Yes,Yes,Yes
CUST00027,28.0,Male,0,51.71,368.65,One year,Fiber optic,Mailed check,No,5,No,No,No
CUST00028,44.0,Female,4,41.36,2087.77,One year,Fiber optic,Mailed check,No,0,No,Yes,No
CUST00029,48.0,Male,8,110.57,10665.43,One year,Fiber optic,Mailed check,No,2,Yes,No,No
CUST00030,20.0,Female,1,109.89,1584.59,One year,DSL,Credit card,No,3,Yes,Yes,Yes
CUST00031,49.0,Male,6,30.24,2147.96,One year,DSL,Electronic check,No,2,No,Yes,No
CUST00032,27.0,Female,4,34.3,1552.27,Two year,DSL,Credit card,No,3,Yes,No,No
CUST00033,21.0,Male,1,106.19,1239.29,Month-to-month,No,Electronic check,No,4,Yes,No,Yes
CUST00034,66.0,Male,7,59.9,4853.15,Two year,Fiber optic,Electronic check,Yes,3,No,No,No
CUST00035,67.0,Male,10,36.94,4356.34,Month-to-month,DSL,Bank transfer,Yes,1,Yes,No,No
